,Symbol,Date,AdjClose
154,BP,2012-12-14,30.347403000000003
155,BP,2012-12-21,29.909039
156,BP,2012-12-28,31.094766999999997
157,BP,2013-01-04,32.345165
158,BP,2013-01-11,31.734344
159,BP,2013-01-18,31.698406
160,BP,2013-01-25,31.993046000000003
161,BP,2013-02-01,31.01572
162,BP,2013-02-08,30.368954
163,BP,2013-02-15,29.682421
164,BP,2013-02-22,0.0
165,BP,2013-03-01,0.0
166,BP,2013-03-08,29.835228000000004
167,BP,2013-03-15,29.755177000000003
168,BP,2013-03-22,30.817606
169,BP,2013-03-29,30.038988
170,BP,2013-04-05,30.402821999999997
171,BP,2013-04-12,29.900716999999997
172,BP,2013-04-19,30.76667
173,BP,2013-04-26,0.0
174,BP,2013-05-03,31.487084999999997
175,BP,2013-05-10,31.494596
176,BP,2013-05-17,0.0
177,BP,2013-05-24,32.172371000000005
178,BP,2013-05-31,31.789282
179,BP,2013-06-07,31.745072999999998
180,BP,2013-06-14,30.706308
181,BP,2013-06-21,30.779978000000003
182,BP,2013-06-28,30.33795
183,BP,2013-07-05,31.339886
184,BP,2013-07-12,31.465128000000004
185,BP,2013-07-19,32.187119
186,BP,2013-07-26,10000000.0
187,BP,2013-08-02,30.411627000000003
188,BP,2013-08-09,30.801788000000002
189,BP,2013-08-16,30.533108000000002
190,BP,2013-08-23,31.077938
191,BP,2013-08-30,31.010775
192,BP,2013-09-06,0.0
193,BP,2013-09-13,31.592921999999998
194,BP,2013-09-20,31.839218
195,BP,2013-09-27,31.637711
196,BP,2013-10-04,31.271990000000002
197,BP,2013-10-11,32.092976
198,BP,2013-10-18,32.525852
199,BP,2013-10-25,34.705196
200,BP,2013-11-01,34.406653999999996
201,BP,2013-11-08,35.191795
202,BP,2013-11-15,35.773528999999996
203,BP,2013-11-22,0.0
204,BP,2013-11-29,35.086009999999995
205,BP,2013-12-06,34.88203
206,BP,2013-12-13,35.214455
207,BP,2013-12-20,36.241946999999996
208,BP,2013-12-27,36.249508
209,BP,2014-01-03,36.906803000000004
210,BP,2014-01-10,36.196625
211,BP,2014-01-17,36.740589
212,BP,2014-01-24,35.818871
213,BP,2014-01-31,35.75087
214,BP,2014-02-07,36.604595
215,BP,2014-02-14,38.116828999999996
216,BP,2014-02-21,10000000.0
217,BP,2014-02-28,37.298836
218,BP,2014-03-07,36.381465999999996
219,BP,2014-03-14,35.563477
220,BP,2014-03-21,36.36618
221,BP,2014-03-28,36.939537
222,BP,2014-04-04,36.908955
223,BP,2014-04-11,37.367641
224,BP,2014-04-18,37.757523
225,BP,2014-04-25,38.529652
226,BP,2014-05-02,38.820141
227,BP,2014-05-09,39.362339
228,BP,2014-05-16,39.602062
229,BP,2014-05-23,39.169003000000004
230,BP,2014-05-30,39.006607
231,BP,2014-06-06,39.702602
232,BP,2014-06-13,40.731125
233,BP,2014-06-20,40.792984000000004
234,BP,2014-06-27,41.102318
235,BP,2014-07-04,0.0
236,BP,2014-07-11,39.339138
237,BP,2014-07-18,39.741261
238,BP,2014-07-25,37.869808
239,BP,2014-08-01,36.624763
240,BP,2014-08-08,37.110401
241,BP,2014-08-15,37.783577
242,BP,2014-08-22,37.509605
243,BP,2014-08-29,35.137859000000006
244,BP,2014-09-05,36.19458
245,BP,2014-09-12,0.0
246,BP,2014-09-19,34.488178000000005
247,BP,2014-09-26,33.783695
248,BP,2014-10-03,32.867867
249,BP,2014-10-10,31.87377
250,BP,2014-10-17,33.008762
251,BP,2014-10-24,33.744556
252,BP,2014-10-31,32.773937
253,BP,2014-11-07,32.299942
254,BP,2014-11-14,33.173553000000005
255,BP,2014-11-21,33.030594
256,BP,2014-11-28,0.0
257,BP,2014-12-05,29.64732
258,BP,2014-12-12,0.0
259,BP,2014-12-19,30.933929
260,BP,2014-12-26,30.27474
261,BP,2015-01-02,29.170804999999998
262,BP,2015-01-09,28.376614
263,BP,2015-01-16,30.957748
264,BP,2015-01-23,30.775084999999997
265,BP,2015-01-30,32.863823
266,BP,2015-02-06,32.83205
267,BP,2015-02-13,33.195763
268,BP,2015-02-20,33.332778999999995
269,BP,2015-02-27,33.187706
270,BP,2015-03-06,30.753834
271,BP,2015-03-13,31.406628
272,BP,2015-03-20,32.083603000000004
273,BP,2015-03-27,31.954653000000004
274,BP,2015-04-03,33.324711
275,BP,2015-04-10,34.291817
276,BP,2015-04-17,35.138023
277,BP,2015-04-24,34.783432
278,BP,2015-05-01,33.711559
279,BP,2015-05-08,35.111031
280,BP,2015-05-15,35.061993
281,BP,2015-05-22,33.958645000000004
282,BP,2015-05-29,33.198555
283,BP,2015-06-05,33.85239
284,BP,2015-06-12,33.721619
285,BP,2015-06-19,34.236523
286,BP,2015-06-26,33.746151
287,BP,2015-07-03,31.980783000000002
288,BP,2015-07-10,32.315876
289,BP,2015-07-17,30.485132
290,BP,2015-07-24,0.0
291,BP,2015-07-31,29.324575
292,BP,2015-08-07,29.84737
293,BP,2015-08-14,28.567719
294,BP,2015-08-21,27.445954999999998
295,BP,2015-08-28,26.930771000000004
296,BP,2015-09-04,25.93364
297,BP,2015-09-11,10000000.0
298,BP,2015-09-18,25.061153
299,BP,2015-09-25,25.725906
300,BP,2015-10-02,29.880603999999998
301,BP,2015-10-09,29.647942999999998
302,BP,2015-10-16,0.0
303,BP,2015-10-23,29.672873
304,BP,2015-10-30,29.539915
305,BP,2015-11-06,28.292458
306,BP,2015-11-13,0.0
307,BP,2015-11-20,29.550838
308,BP,2015-11-27,28.08976
309,BP,2015-12-04,26.856721999999998
310,BP,2015-12-11,25.632118
311,BP,2015-12-18,0.0
312,BP,2015-12-25,26.400665000000004
313,BP,2016-01-01,0.0
314,BP,2016-01-08,26.037506
315,BP,2016-01-15,24.880470000000003
316,BP,2016-01-22,26.932732
317,BP,2016-01-29,25.851709
318,BP,2016-02-05,23.34339
319,BP,2016-02-12,25.683016000000002
320,BP,2016-02-19,24.717104
321,BP,2016-02-26,26.62306
322,BP,2016-03-04,25.726136999999998
323,BP,2016-03-11,27.200884000000002
324,BP,2016-03-18,26.234965999999996
325,BP,2016-03-25,26.027987
326,BP,2016-04-01,25.12244
327,BP,2016-04-08,26.666179999999997
328,BP,2016-04-15,27.373371000000002
329,BP,2016-04-22,28.882614
330,BP,2016-04-29,0.0
331,BP,2016-05-06,27.992698999999998
332,BP,2016-05-13,28.098133
333,BP,2016-05-20,28.642868
334,BP,2016-05-27,27.693965999999996
335,BP,2016-06-03,29.029465000000002
336,BP,2016-06-10,28.142059000000003
337,BP,2016-06-17,30.426462
338,BP,2016-06-24,31.199644
339,BP,2016-07-01,31.102999
340,BP,2016-07-08,32.122189
341,BP,2016-07-15,31.489586
342,BP,2016-07-22,29.864148999999998
343,BP,2016-07-29,28.994320000000002
344,BP,2016-08-05,30.096481
345,BP,2016-08-12,31.000092
346,BP,2016-08-19,30.615383
347,BP,2016-08-26,30.114376
348,BP,2016-09-02,31.384796
349,BP,2016-09-09,30.069639000000002
350,BP,2016-09-16,30.651171
351,BP,2016-09-23,31.366901000000002
352,BP,2016-09-30,32.163151
353,BP,2016-10-07,31.921592999999998
354,BP,2016-10-14,0.0
355,BP,2016-10-21,32.20789
356,BP,2016-10-28,30.275412
357,BP,2016-11-04,30.364882
358,BP,2016-11-11,30.50931
359,BP,2016-11-18,0.0
360,BP,2016-11-25,32.230583
361,BP,2016-12-02,32.95916
362,BP,2016-12-09,32.649516999999996
363,BP,2016-12-16,33.614883
364,BP,2016-12-23,34.061142
365,BP,2016-12-30,35.12669
366,BP,2017-01-06,34.389
367,BP,2017-01-13,33.605778
368,BP,2017-01-20,33.46006
369,BP,2017-01-27,32.594875
370,BP,2017-02-03,31.365387
371,BP,2017-02-10,30.673240999999997
372,BP,2017-02-17,31.377065999999996
373,BP,2017-02-24,31.617991999999997
374,BP,2017-03-03,31.043457
375,BP,2017-03-10,31.525331
376,BP,2017-03-17,31.562399
377,BP,2017-03-24,31.988660999999997
378,BP,2017-03-31,32.183265999999996
379,BP,2017-04-07,32.424198
380,BP,2017-04-14,31.6458
381,BP,2017-04-21,31.877466
382,BP,2017-04-28,0.0
383,BP,2017-05-05,32.628067
384,BP,2017-05-12,34.416897
385,BP,2017-05-19,34.313206
386,BP,2017-05-26,34.16238
387,BP,2017-06-02,33.379963000000004
388,BP,2017-06-09,33.219711
389,BP,2017-06-16,32.616398
390,BP,2017-06-23,32.861492
391,BP,2017-06-30,32.465571999999995
392,BP,2017-07-07,32.729519
393,BP,2017-07-14,33.087734000000005
394,BP,2017-07-21,32.984039
395,BP,2017-07-28,34.068108
396,BP,2017-08-04,33.436523
397,BP,2017-08-11,32.681709000000005
398,BP,2017-08-18,32.758381
399,BP,2017-08-25,33.285507
400,BP,2017-09-01,34.023478999999995
401,BP,2017-09-08,34.818962
402,BP,2017-09-15,36.131981
403,BP,2017-09-22,36.822029
404,BP,2017-09-29,37.004128
405,BP,2017-10-06,37.387493
406,BP,2017-10-13,37.138302
407,BP,2017-10-20,10000000.0
408,BP,2017-10-27,38.978446999999996
409,BP,2017-11-03,39.026371000000005
410,BP,2017-11-10,37.703907
411,BP,2017-11-17,38.686134
412,BP,2017-11-24,38.968159
413,BP,2017-12-01,38.229057
414,BP,2017-12-08,39.51276
415,BP,2017-12-15,40.53389
416,BP,2017-12-22,40.718662
417,BP,2017-12-29,41.856495
418,BP,2018-01-05,42.08017
419,BP,2018-01-12,41.720341
420,BP,2018-01-19,42.537243
421,BP,2018-01-26,42.167694
422,BP,2018-02-02,38.462456
423,BP,2018-02-09,0.0
424,BP,2018-02-16,38.746582000000004
425,BP,2018-02-23,38.440556
426,BP,2018-03-02,38.953888
427,BP,2018-03-09,38.5294
428,BP,2018-03-16,38.5294
429,BP,2018-03-23,40.020035
430,BP,2018-03-30,41.382332
431,BP,2018-04-06,42.507717
432,BP,2018-04-13,43.10989
433,BP,2018-04-20,44.274753999999994
434,BP,2018-04-27,44.156296000000005
435,BP,2018-05-04,45.291546000000004
436,BP,2018-05-11,46.400002
437,CVX,2010-01-01,58.47311
438,CVX,2010-01-08,58.63525
439,CVX,2010-01-15,56.195488
440,CVX,2010-01-22,53.984233999999994
441,CVX,2010-01-29,52.605872999999995
442,CVX,2010-02-05,52.87125
443,CVX,2010-02-12,54.264331999999996
444,CVX,2010-02-19,53.660022999999995
445,CVX,2010-02-26,54.381843999999994
446,CVX,2010-03-05,55.059013
447,CVX,2010-03-12,55.631989000000004
448,CVX,2010-03-19,54.917618000000004
449,CVX,2010-03-26,57.068176
450,CVX,2010-04-02,57.790028
451,CVX,2010-04-09,60.714496999999994
452,CVX,2010-04-16,60.424263
453,CVX,2010-04-23,61.235363
454,CVX,2010-04-30,57.447689000000004
455,CVX,2010-05-07,58.727615
456,CVX,2010-05-14,54.768795
457,CVX,2010-05-21,55.851017000000006
458,CVX,2010-05-28,0.0
459,CVX,2010-06-04,0.0
460,CVX,2010-06-11,56.57206
461,CVX,2010-06-18,53.199661
462,CVX,2010-06-25,50.68351
463,CVX,2010-07-02,52.884201000000004
464,CVX,2010-07-09,54.859589
465,CVX,2010-07-16,55.16000699999999
466,CVX,2010-07-23,57.097832
467,CVX,2010-07-30,59.388641
468,CVX,2010-08-06,57.886475
469,CVX,2010-08-13,56.962624
470,CVX,2010-08-20,55.592461
471,CVX,2010-08-27,58.715897
472,CVX,2010-09-03,58.647675
473,CVX,2010-09-10,59.928883
474,CVX,2010-09-17,10000000.0
475,CVX,2010-09-24,61.445114000000004
476,CVX,2010-10-01,63.317654000000005
477,CVX,2010-10-08,0.0
478,CVX,2010-10-15,63.871063
479,CVX,2010-10-22,64.015114
480,CVX,2010-10-29,64.545776
481,CVX,2010-11-05,65.265991
482,CVX,2010-11-12,63.545097
483,CVX,2010-11-19,63.408367000000005
484,CVX,2010-11-26,64.608772
485,CVX,2010-12-03,66.252663
486,CVX,2010-12-10,68.09536
487,CVX,2010-12-17,69.33401500000001
488,CVX,2010-12-24,0.0
489,CVX,2010-12-31,69.34166
490,CVX,2011-01-07,70.480896
491,CVX,2011-01-14,70.886147
492,CVX,2011-01-21,72.445953
493,CVX,2011-01-28,74.403305
494,CVX,2011-02-04,73.936897
495,CVX,2011-02-11,74.296272
496,CVX,2011-02-18,78.59897600000001
497,CVX,2011-02-25,80.262917
498,CVX,2011-03-04,76.326447
499,CVX,2011-03-11,78.76074200000001
500,CVX,2011-03-18,0.0
501,CVX,2011-03-25,82.805084
502,CVX,2011-04-01,83.922096
503,CVX,2011-04-08,80.794487
504,CVX,2011-04-15,83.29811099999999
505,CVX,2011-04-22,83.82196
506,CVX,2011-04-29,79.053467
507,CVX,2011-05-06,79.161354
508,CVX,2011-05-13,80.016411
509,CVX,2011-05-20,80.23925
510,CVX,2011-05-27,78.500328
511,CVX,2011-06-03,78.585693
512,CVX,2011-06-10,77.188362
513,CVX,2011-06-17,77.133995
514,CVX,2011-06-24,79.835541
515,CVX,2011-07-01,0.0
516,CVX,2011-07-08,81.256187
517,CVX,2011-07-15,84.951447
518,CVX,2011-07-22,81.53568299999999
519,CVX,2011-07-29,75.177704
520,CVX,2011-08-05,10000000.0
521,CVX,2011-08-12,72.38299599999999
522,CVX,2011-08-19,75.09137700000001
523,CVX,2011-08-26,77.094643
524,CVX,2011-09-02,77.008553
525,CVX,2011-09-09,77.673721
526,CVX,2011-09-16,70.56055500000001
527,CVX,2011-09-23,73.86279300000001
528,CVX,2011-09-30,74.03495799999999
529,CVX,2011-10-07,76.523415
530,CVX,2011-10-14,80.905563
531,CVX,2011-10-21,85.272064
