Date,BP,CVX,MRO,NRG,UAL,VLO,XLE,XOM
2010-01-01,0.7281586796244021,0.09666937540967924,0.2853435747328776,0.48087399654298907,0.017233887488261407,0.015449147956782538,0.16995991312059733,0.20816814543358142
2010-01-08,0.7725380589068417,0.09868154195596213,0.27486026604781594,0.48087399654298907,0.022737145677790255,0.010583968564500279,0.16707373864370423,0.20615898653762466
2010-01-15,0.7212758447355124,0.0684039579095066,0.2676142178736644,0.47913314738045204,0.011151338962992668,0.015091414888758453,0.1319278006656811,0.15626678374633418
2010-01-22,0.6681151489227316,0.04096217103313882,0.24710997947967417,0.5041997552087571,0.003910209766244205,0.011728733716487139,0.09508364947383297,0.12713570074590363
2010-01-29,0.5767451391622279,0.023856633270088023,0.22691402571949076,0.412985623818427,0.0,0.009439213079668357,0.0735210083354283,0.12311788400198609
2010-02-05,0.6080720194525796,0.02714997680994813,0.22645145484504853,0.4171636232344152,0.04779145269854004,0.008652180995705555,0.09822501116858706,0.1318234840150222
2010-02-12,0.6066483041238616,0.04443820301340751,0.24371827281287106,0.4293484872973557,0.0379435169909621,0.006434206972491557,0.12292901400174605,0.1510823965587501
2010-02-19,0.5818750664995648,0.036938694234465275,0.234462025883244,0.41194130719140803,0.04779145269854004,0.005097616465314814,0.10374290781430373,0.1372639285134346
2010-02-26,0.6348822730188618,0.04589653356223433,0.24446843528677287,0.4199486347275683,0.08254885836067441,0.014929499710908567,0.12191018406142329,0.14164533182513528
2010-03-05,0.671264524535362,0.05430023905119363,0.27714548706349534,0.4422297681735124,0.09862417965971446,0.026340203364651343,0.14551054632295635,0.17231504608356263
2010-03-12,0.7086110083411291,0.06141090353264789,0.2838685803618947,0.4102005351770724,0.1038378071636317,0.027344959111849865,0.1405867527937389,0.17517997317258305
2010-03-19,0.6695779660866717,0.05254551912513172,0.26823347371760764,0.35101586822778613,0.10572048627252797,0.0224649213024469,0.10459221856282497,0.1568115971959262
2010-03-26,0.6987321047551301,0.07923406521765108,0.28371211927375456,0.3907044132242817,0.10354814751350341,0.02354138800488398,0.15017924449803643,0.16995571999224646
2010-04-02,0.7283679765744989,0.08819228925716893,0.2802724060465878,0.39766719268881917,0.11397537355682122,0.02354138800488398,0.1653431893990731,0.18309984278856672
2010-04-09,0.766918592641786,0.12448511451584321,0.2932496891247391,0.4338745408235492,0.16191166332155463,0.0224649213024469,0.18050713430010967,0.18984050683749698
2010-04-16,0.7423425420708573,0.12088329420380506,0.28980981598231464,0.4237780785700426,0.13540910149693838,0.02709380159330374,0.18578915552414133,0.19489592862776062
2010-04-23,0.5739240074070256,0.1309490909577835,0.28855889487043035,0.4718220823611052,0.1319333594824991,0.03172268188416061,0.18630016279884987,0.196581323379296
2010-04-30,0.5201943653015274,0.08394384295589874,0.26135420717853197,0.4359633283739897,0.08124545510525957,0.01873308048502939,0.10792474866697555,0.11619980539295816
2010-05-07,0.4664638842574006,0.0998277968162522,0.2773020121177386,0.4589407629108479,0.07936276151410501,0.027919110777194694,0.13041486637584365,0.130523613019632
2010-05-14,0.38165233194116965,0.05069861730005798,0.27308053716174735,0.3924451852386173,0.07748006792295045,0.008183526992064455,0.04147585890744554,0.06311300771574702
2010-05-21,0.40092763997481284,0.06412905336797092,0.2833925446227536,0.4450151654076721,0.11629252041752233,0.015153594029240297,0.0740186239206112,0.08228447649176485
2010-05-28,0.2491341879783524,0.067111781469265,0.2849772728435747,0.4589407629108479,0.12758869644670842,0.010835923623327776,0.06311450196674095,0.08398115571556553
2010-06-04,0.09734073598189175,0.07009450957055896,0.29210850186269294,0.4589407629108479,0.1388848724758944,0.004143545611391533,0.07265575412727354,0.08957975710325938
2010-06-11,0.07155982363759217,0.07307723767185303,0.3111252405125476,0.43039290035962646,0.16741490702882508,0.008964903790395745,0.0987240251237892,0.10162529949054744
2010-06-18,0.0,0.031225575845542752,0.302567727309944,0.4018450378084049,0.13222301913262738,0.009900452375481483,0.044542596637166976,0.058701781155915955
2010-06-25,0.015661233371826122,0.0,0.2708730349613134,0.38130448350629315,0.12107166568737635,0.004071592977279839,0.0,0.0
2010-07-02,0.12047114939297499,0.027310699450511233,0.2903653615875876,0.4209930285027886,0.1180304059070004,0.00867709325394897,0.04878010690651058,0.037324699099982594
2010-07-09,0.2452789914119311,0.051825375961728204,0.29733811458631826,0.4397927722164639,0.13931932574544095,0.008533139649950977,0.05973438645361984,0.04512921875332887
2010-07-16,0.18046558394706258,0.05555358028824364,0.30019074691939257,0.42343010160803846,0.15090514694249688,0.0032800076633470593,0.06914809093708407,0.046995361123372326
2010-07-23,0.23407522135304526,0.07960209785053973,0.3106498444344374,0.42412647984715385,0.16538740533599386,0.0014810081346111892,0.07616521376361907,0.06328268870894449
2010-07-30,0.28768485875902805,0.10803116676458824,0.3363222880930938,0.4523261532788178,0.14395363394910157,0.011627518604415493,0.11655877510462032,0.10349176863102316
2010-08-06,0.23226822049772922,0.0893892019677236,0.3044693436054366,0.4237780785700426,0.1303403400237312,0.0016968757041011945,0.06743634313460722,0.0614163938460327
2010-08-13,0.18070650523590714,0.07792415894348526,0.2890976173905924,0.38635256033664395,0.11904416399454512,0.0011312504694007963,0.05716687702778944,0.05266650554705865
2010-08-20,0.1609492816733893,0.060920358822881826,0.26693512174028744,0.34892704210324504,0.1314265021621143,0.0005656252347003982,0.0219081712251622,0.03882559926538509
2010-08-27,0.18865778318200155,0.0996823757752423,0.2935823128607688,0.39523031245407286,0.1438088403296834,0.0,0.0693187941502158,0.08291089541067487
