raw_date,BP,CVX,MRO,NRG,UAL,VLO,XLE,XOM,BGN,BRL,CAD,CHF,EUR,PLN,NOK
2010-08-29,0.18865778318200155,0.0996823757752423,0.2935823128607688,0.39523031245407286,0.1438088403296834,0.0,0.0693187941502158,0.08291089541067487,0.3551287290559868,0.08055598816383736,0.24062506662118643,0.9903512157468155,0.8470612842501568,0.5242895442359248,1.0
2010-09-05,0.22359447048984138,0.09883573690685377,0.29197724341916725,0.394882239056817,0.12425779149846247,0.0013717209481765996,0.07633646815909412,0.0827401251827028,0.3551287290559868,0.06634480610496807,0.23145799134457512,0.9648784253184095,0.8160217527713867,0.4619839142091151,0.8759384023099139
2010-09-12,0.2296177580401052,0.11473560045952458,0.2956692069738404,0.39453416565956106,0.14279505327762185,0.004115133843065014,0.08403864939585082,0.08359436844708179,0.32815692684920306,0.06420339510979589,0.17666872748203888,0.991509069857198,0.8439238653001464,0.4749597855227883,0.9167468719923004
2010-09-19,0.2262447870450951,0.12414385657965865,0.28700100042985216,0.36076373633367825,0.1452570372045163,0.0,0.07873272318944957,0.08444861171146101,0.3011851246424193,0.06350256969319412,0.16792802779968863,0.9463527595522963,0.7596318761765324,0.41319034852546865,0.8295476419634262
2010-09-26,0.2994909502778218,0.13355211269979272,0.31332714567896175,0.36842324120423703,0.16364951984651585,0.006280992234074773,0.11669124259445673,0.09538468134197042,0.29658084729600853,0.06358043918392775,0.17261815933655944,0.8302971825549981,0.6755490483162521,0.3390884718498661,0.6629451395572667
2010-10-03,0.3079241072771982,0.156790439729376,0.3414192031358742,0.3917488841477032,0.19348295765486126,0.007436159244761653,0.14385853035516294,0.1305842833965808,0.2919765699495982,0.048590562217723066,0.16664890101690588,0.8167888846005402,0.6041832252666803,0.235710455764075,0.5973051010587103
2010-10-10,0.29587676618922676,0.160224358183218,0.3520140367216605,0.3712082526973903,0.19507602056040427,0.010973690248173379,0.1681026123511713,0.15536121573937278,0.2873722926031874,0.051666407101697565,0.1559895111603815,0.7756850636819759,0.5716795649445721,0.23345844504021462,0.5788257940327242
2010-10-17,0.2869621313680868,0.1636582766370599,0.35265622441355876,0.351712092170499,0.22360605511333495,0.007580518869266528,0.16569545615891546,0.17278988709123044,0.2827680152567771,0.04095935212583712,0.1223058392137637,0.7195291393284444,0.5256640870110854,0.13211796246648788,0.4878729547641969
2010-10-24,0.28575752492386375,0.16544595767294612,0.34816151824824987,0.33256417862431625,0.23982619899631,0.011406865793237297,0.17068171702037183,0.1710809648685624,0.2781637379103663,0.05443077402273788,0.16664890101690588,0.790891547664994,0.5587115666178626,0.21522788203753374,0.5843118383060624
2010-10-31,0.36550925599165407,0.17203150302747672,0.32504547989929183,0.3374382476866146,0.22447501958146157,0.016532729685244912,0.2188265964833258,0.22507701216627318,0.27355946056395597,0.059336551938950266,0.1557763233632503,0.8604785796989578,0.5754026354319182,0.24139410187667565,0.6495668912415793
2010-11-07,0.35996759216552443,0.18096941180465165,0.33002197875301925,0.34544549807457375,0.23229542463169153,0.019528837176312625,0.2511522568957196,0.2669407268498508,0.2689551832175452,0.04785080205575454,0.11313876393715239,0.7545349285989964,0.5267517255804228,0.14080428954423585,0.5079884504331087
2010-11-14,0.3245488799020325,0.15961302018938717,0.330342960658288,0.32316413318402576,0.2262128761064228,0.022524944667380337,0.2370527267562117,0.24853278986617788,0.26435090587113486,0.06416446036442913,0.132538853476027,0.8023157082207644,0.6075298054800249,0.23270777479892768,0.6687199230028877
2010-11-21,0.3067192455038269,0.1579161931764771,0.33122591676218943,0.33151974627499553,0.24402603944816573,0.02349597171104323,0.24066358352956074,0.24113854138305724,0.2597466285247241,0.06315215698489329,0.15492357217472863,0.8830567348514085,0.615770759255386,0.2454691689008044,0.731376323387873
2010-11-28,0.30310506141523186,0.17281328694106768,0.35154407776231206,0.311675493063798,0.22954378105466874,0.029939024130291758,0.2795234085508058,0.26865080366137983,0.25514235117831374,0.06821367388257271,0.15876095252307731,0.9096873793901965,0.7196402426270652,0.42563002680965134,0.9105871029836381
2010-12-05,0.33237960601472294,0.19321406698260934,0.3481305906374092,0.29635706193419026,0.19971034324632334,0.031821248195782637,0.28124270959280184,0.27759207051026247,0.25053807383190296,0.057389814670612105,0.11441789071993513,0.8719413353917402,0.7146203723070483,0.3943163538873993,0.7761308950914341
2010-12-12,0.36165415061421424,0.21608204069875514,0.353657389875957,0.2810384379340792,0.1739319377881571,0.03413783686639327,0.2903556726584404,0.28137472146632947,0.24593379648549263,0.05875253075844877,0.13125972669324426,0.8302971825549981,0.7151223593390506,0.422627345844504,0.7280076997112603
2010-12-19,0.36767787587158896,0.23145381912102037,0.37381291705899217,0.30262346315961214,0.16002895524814162,0.04651720877799709,0.3118493955897734,0.2982255537702271,0.24132951913908185,0.05992057311945176,0.12656959515637345,0.7500192975685063,0.711315624346371,0.3784450402144768,0.6883541867179979
2010-12-26,0.36502748636515003,0.23150125656164677,0.38080226926147304,0.3242084883851453,0.1687183102842398,0.04738588965246199,0.3297853793943215,0.30097698259572747,0.23672524179267151,0.053691013860769354,0.13317841686741838,0.7602470088768816,0.7500941225685,0.40621983914209103,0.7099133782483156
2011-01-02,0.42140795568419775,0.23154869400227318,0.3931558828345683,0.32316413318402576,0.19391743988892454,0.054263306676830325,0.32356777717796414,0.3322716344137714,0.23212096444626074,0.04134869957950471,0.10441938303451481,0.6541489772288691,0.6872202468102908,0.3500268096514745,0.5779595765158803
